epoch,loss,accuracy,val_loss,val_accuracy
1,1.1050670146942139,0.5078533887863159,0.6394146084785461,0.9166666865348816
2,1.0082716941833496,0.5759162306785583,0.5922231674194336,0.9479166865348816
3,0.8280230760574341,0.6151832342147827,0.5705720782279968,0.9375
4,0.793807327747345,0.6963350772857666,0.5404909253120422,0.9375
5,0.6827036142349243,0.727748692035675,0.5087555050849915,0.9270833134651184
6,0.632510781288147,0.753926694393158,0.4753282964229584,0.9270833134651184
7,0.5530166625976562,0.8193717002868652,0.4295973777770996,0.9270833134651184
8,0.6189747452735901,0.7565445303916931,0.37750789523124695,0.9270833134651184
9,0.5373063683509827,0.8141361474990845,0.3241593837738037,0.9270833134651184
10,0.48609164357185364,0.8141361474990845,0.26303842663764954,0.9270833134651184
11,0.4582729935646057,0.8141361474990845,0.22043657302856445,0.9270833134651184
12,0.38769903779029846,0.8534031510353088,0.1840764731168747,0.9270833134651184
13,0.44799113273620605,0.8141361474990845,0.16141285002231598,0.9270833134651184
14,0.35589608550071716,0.8743455410003662,0.14894507825374603,0.9270833134651184
15,0.3811393976211548,0.8743455410003662,0.13717664778232574,0.9270833134651184
16,0.3701840043067932,0.8821989297866821,0.12057019025087357,0.9270833134651184
17,0.3591381311416626,0.8874345421791077,0.11202585697174072,0.9375
18,0.29170605540275574,0.8821989297866821,0.10734529048204422,0.9375
19,0.3262443244457245,0.8926701545715332,0.10668190568685532,0.9270833134651184
20,0.30453869700431824,0.8952879309654236,0.10417276620864868,0.9270833134651184
21,0.27627089619636536,0.8848167657852173,0.09942188113927841,0.9270833134651184
22,0.2689688801765442,0.8926701545715332,0.09758348017930984,0.9270833134651184
23,0.22444747388362885,0.9136125445365906,0.0937860906124115,0.9270833134651184
24,0.20977535843849182,0.9083769917488098,0.08965180069208145,0.9270833134651184
25,0.2583722770214081,0.9057591557502747,0.08805840462446213,0.9270833134651184
26,0.26064667105674744,0.8874345421791077,0.08915068954229355,0.9270833134651184
27,0.20463232696056366,0.9188481569290161,0.08777575939893723,0.9270833134651184
28,0.2163359522819519,0.9136125445365906,0.0858776643872261,0.9270833134651184
29,0.1810905486345291,0.926701545715332,0.08372902870178223,0.9583333134651184
30,0.18895737826824188,0.9214659929275513,0.08063820749521255,0.96875
31,0.21179239451885223,0.9136125445365906,0.07801609486341476,0.96875
32,0.17886041104793549,0.9162303805351257,0.08033088594675064,0.9479166865348816
33,0.16347065567970276,0.9214659929275513,0.07980547100305557,0.9583333134651184
34,0.1900099366903305,0.9162303805351257,0.07825671881437302,0.96875
35,0.1803642064332962,0.9188481569290161,0.07703007757663727,0.96875
36,0.19814470410346985,0.9188481569290161,0.07549270242452621,0.96875
37,0.16391748189926147,0.9214659929275513,0.07558218389749527,0.96875
38,0.1860084980726242,0.9162303805351257,0.0731951892375946,0.9791666865348816
39,0.18440227210521698,0.9136125445365906,0.07001220434904099,0.9895833134651184
40,0.1608973890542984,0.9109947681427002,0.07093996554613113,0.9895833134651184
41,0.14999644458293915,0.9162303805351257,0.07069582492113113,0.9895833134651184
42,0.16221031546592712,0.9109947681427002,0.0706513449549675,0.9895833134651184
43,0.15312184393405914,0.9136125445365906,0.06837690621614456,0.9791666865348816
44,0.14265957474708557,0.9109947681427002,0.06924405694007874,0.9895833134651184
45,0.14946363866329193,0.9162303805351257,0.06915069371461868,0.9895833134651184
46,0.12845230102539062,0.926701545715332,0.06705953925848007,0.9895833134651184
47,0.12003369629383087,0.9424083828926086,0.06454304605722427,0.9791666865348816
48,0.10535390675067902,0.945026159286499,0.06230467930436134,0.9895833134651184
49,0.15930365025997162,0.9214659929275513,0.06293153762817383,0.9895833134651184
50,0.10992434620857239,0.9397905468940735,0.0620109885931015,0.9895833134651184
