"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0263572013344722,2,83,39.382099827883,"GO:0030301 cholesterol transport "," http://amigo.geneontology.org/amigo/term/GO:0030301"," MSR1  CD36"
0.0298012374873399,5,1478,5.5289483858496,"GO:0019220 regulation of phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019220"," MARCO  CD36  GPD1  ADTRP  ABCA3"
0.0298012374873399,5,1479,5.52521008403361,"GO:0051174 regulation of phosphorus metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0051174"," MARCO  CD36  GPD1  ADTRP  ABCA3"
0.0304345517938561,2,94,34.773556231003,"GO:0019915 lipid storage "," http://amigo.geneontology.org/amigo/term/GO:0019915"," MSR1  CD36"
0.0304345517938561,2,93,35.147465437788,"GO:0050766 positive regulation of phagocytosis "," http://amigo.geneontology.org/amigo/term/GO:0050766"," SIRPB1  CD36"
0.030779334075472,4,869,7.52293276343909,"GO:0061024 membrane organization "," http://amigo.geneontology.org/amigo/term/GO:0061024"," MARCO  MSR1  CD36  ABCA3"
0.0309683779304109,4,876,7.46281800391389,"GO:0042327 positive regulation of phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0042327"," MARCO  CD36  GPD1  ADTRP"
0.0320488278536113,2,100,32.6871428571429,"GO:0015918 sterol transport "," http://amigo.geneontology.org/amigo/term/GO:0015918"," MSR1  CD36"
0.0330998098155815,1,3,544.785714285714,"GO:0055095 lipoprotein particle mediated signaling "," http://amigo.geneontology.org/amigo/term/GO:0055095"," CD36"
0.0330998098155815,1,3,544.785714285714,"GO:0055096 low-density lipoprotein particle mediated signaling "," http://amigo.geneontology.org/amigo/term/GO:0055096"," CD36"
0.0330998098155815,1,3,544.785714285714,"GO:0070543 response to linoleic acid "," http://amigo.geneontology.org/amigo/term/GO:0070543"," CD36"
0.033279567106455,3,417,11.7579650565262,"GO:0006869 lipid transport "," http://amigo.geneontology.org/amigo/term/GO:0006869"," CD36  ABCA3  MSR1"
0.0339945171940528,1,4,408.589285714286,"GO:0003332 negative regulation of extracellular matrix constituent secretion "," http://amigo.geneontology.org/amigo/term/GO:0003332"," ADTRP"
0.0339945171940528,4,961,6.80273524602349,"GO:0010562 positive regulation of phosphorus metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0010562"," MARCO  CD36  GPD1  ADTRP"
0.0339945171940528,1,4,408.589285714286,"GO:0015912 short-chain fatty acid transport "," http://amigo.geneontology.org/amigo/term/GO:0015912"," CD36"
0.0339945171940528,1,4,408.589285714286,"GO:0032461 positive regulation of protein oligomerization "," http://amigo.geneontology.org/amigo/term/GO:0032461"," ABCA3"
0.0339945171940528,1,4,408.589285714286,"GO:0032462 regulation of protein homooligomerization "," http://amigo.geneontology.org/amigo/term/GO:0032462"," ABCA3"
0.0339945171940528,1,4,408.589285714286,"GO:0036367 light adaption "," http://amigo.geneontology.org/amigo/term/GO:0036367"," RS1"
0.0339945171940528,3,438,11.1942270058708,"GO:0043254 regulation of protein-containing complex assembly "," http://amigo.geneontology.org/amigo/term/GO:0043254"," KANK3  ABCA3  CD36"
0.0339945171940528,4,961,6.80273524602349,"GO:0045937 positive regulation of phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0045937"," MARCO  CD36  GPD1  ADTRP"
0.0339945171940528,4,973,6.71883717515783,"GO:0051050 positive regulation of transport "," http://amigo.geneontology.org/amigo/term/GO:0051050"," SIRPB1  STAC  CD36  ABCA3"
0.0339945171940528,1,4,408.589285714286,"GO:0071724 response to diacyl bacterial lipopeptide "," http://amigo.geneontology.org/amigo/term/GO:0071724"," CD36"
0.0339945171940528,1,4,408.589285714286,"GO:0071726 cellular response to diacyl bacterial lipopeptide "," http://amigo.geneontology.org/amigo/term/GO:0071726"," CD36"
0.0339945171940528,1,4,408.589285714286,"GO:1902994 regulation of phospholipid efflux "," http://amigo.geneontology.org/amigo/term/GO:1902994"," ABCA3"
0.0339945171940528,1,4,408.589285714286,"GO:1902995 positive regulation of phospholipid efflux "," http://amigo.geneontology.org/amigo/term/GO:1902995"," ABCA3"
0.0341959907432045,2,123,26.5749128919861,"GO:0050764 regulation of phagocytosis "," http://amigo.geneontology.org/amigo/term/GO:0050764"," SIRPB1  CD36"
0.0341959907432045,2,124,26.360599078341,"GO:0051224 negative regulation of protein transport "," http://amigo.geneontology.org/amigo/term/GO:0051224"," CD36  ADTRP"
0.0355761339366425,5,1729,4.72630752705941,"GO:0007155 cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0007155"," SIRPB1  OLR1  CD36  RS1  ADTRP"
0.0355761339366425,3,480,10.2147321428571,"GO:0010876 lipid localization "," http://amigo.geneontology.org/amigo/term/GO:0010876"," MSR1  CD36  ABCA3"
0.0355761339366425,4,1025,6.37797909407665,"GO:0044087 regulation of cellular component biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0044087"," KANK3  ABCA3  CD36  LRRN3"
0.0355761339366425,2,130,25.143956043956,"GO:1904950 negative regulation of establishment of protein localization "," http://amigo.geneontology.org/amigo/term/GO:1904950"," CD36  ADTRP"
0.0370192242008946,1,5,326.871428571429,"GO:0006116 NADH oxidation "," http://amigo.geneontology.org/amigo/term/GO:0006116"," GPD1"
0.0370192242008946,1,5,326.871428571429,"GO:0035634 response to stilbenoid "," http://amigo.geneontology.org/amigo/term/GO:0035634"," CD36"
0.0370192242008946,1,5,326.871428571429,"GO:0042758 long-chain fatty acid catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0042758"," ADTRP"
0.0379620431188099,2,139,23.5159301130524,"GO:0061041 regulation of wound healing "," http://amigo.geneontology.org/amigo/term/GO:0061041"," CD36  ADTRP"
0.0393510335621536,3,525,9.33918367346939,"GO:0007159 leukocyte cell-cell adhesion "," http://amigo.geneontology.org/amigo/term/GO:0007159"," SIRPB1  OLR1  ADTRP"
0.0393510335621536,1,6,272.392857142857,"GO:0032459 regulation of protein oligomerization "," http://amigo.geneontology.org/amigo/term/GO:0032459"," ABCA3"
0.0393510335621536,4,1103,5.92695246729698,"GO:0044255 cellular lipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0044255"," GPD1  ABCA3  ADTRP  CD36"
0.0393510335621536,1,6,272.392857142857,"GO:0070339 response to bacterial lipopeptide "," http://amigo.geneontology.org/amigo/term/GO:0070339"," CD36"
0.0393510335621536,1,6,272.392857142857,"GO:0071220 cellular response to bacterial lipoprotein "," http://amigo.geneontology.org/amigo/term/GO:0071220"," CD36"
0.0393510335621536,1,6,272.392857142857,"GO:0071221 cellular response to bacterial lipopeptide "," http://amigo.geneontology.org/amigo/term/GO:0071221"," CD36"
0.0393510335621536,1,6,272.392857142857,"GO:1990379 lipid transport across blood-brain barrier "," http://amigo.geneontology.org/amigo/term/GO:1990379"," CD36"
0.0393510335621536,1,6,272.392857142857,"GO:2000121 regulation of removal of superoxide radicals "," http://amigo.geneontology.org/amigo/term/GO:2000121"," CD36"
0.0413233924373259,3,539,9.09660747415849,"GO:0044089 positive regulation of cellular component biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0044089"," ABCA3  CD36  LRRN3"
0.0442173606732752,1,7,233.479591836735,"GO:0034196 acylglycerol transport "," http://amigo.geneontology.org/amigo/term/GO:0034196"," CD36"
0.0442173606732752,1,7,233.479591836735,"GO:0034197 triglyceride transport "," http://amigo.geneontology.org/amigo/term/GO:0034197"," CD36"
0.0460291291078943,1,8,204.294642857143,"GO:0032493 response to bacterial lipoprotein "," http://amigo.geneontology.org/amigo/term/GO:0032493"," CD36"
0.0460291291078943,1,8,204.294642857143,"GO:0043313 regulation of neutrophil degranulation "," http://amigo.geneontology.org/amigo/term/GO:0043313"," PRAM1"
0.0460291291078943,1,8,204.294642857143,"GO:0071447 cellular response to hydroperoxide "," http://amigo.geneontology.org/amigo/term/GO:0071447"," CD36"
0.0460291291078943,1,8,204.294642857143,"GO:0072564 blood microparticle formation "," http://amigo.geneontology.org/amigo/term/GO:0072564"," CD36"
0.0460291291078943,1,8,204.294642857143,"GO:0150094 amyloid-beta clearance by cellular catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0150094"," CD36"
0.0460291291078943,2,172,19.0041528239203,"GO:1903034 regulation of response to wounding "," http://amigo.geneontology.org/amigo/term/GO:1903034"," CD36  ADTRP"
0.0460291291078943,1,8,204.294642857143,"GO:2000332 regulation of blood microparticle formation "," http://amigo.geneontology.org/amigo/term/GO:2000332"," CD36"
0.0460291291078943,1,8,204.294642857143,"GO:2000334 positive regulation of blood microparticle formation "," http://amigo.geneontology.org/amigo/term/GO:2000334"," CD36"
0.0474632801537378,3,593,8.26824861479162,"GO:1903530 regulation of secretion by cell "," http://amigo.geneontology.org/amigo/term/GO:1903530"," LGI3  PRAM1  ADTRP"
0.051240957301705,1,10,163.435714285714,"GO:0003330 regulation of extracellular matrix constituent secretion "," http://amigo.geneontology.org/amigo/term/GO:0003330"," ADTRP"
0.051240957301705,1,10,163.435714285714,"GO:0006072 glycerol-3-phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006072"," GPD1"
0.051240957301705,1,10,163.435714285714,"GO:0015911 long-chain fatty acid import across plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0015911"," CD36"
0.051240957301705,3,628,7.80743858052775,"GO:0032787 monocarboxylic acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0032787"," GPD1  ADTRP  CD36"
0.051240957301705,1,10,163.435714285714,"GO:0070391 response to lipoteichoic acid "," http://amigo.geneontology.org/amigo/term/GO:0070391"," CD36"
0.051240957301705,1,10,163.435714285714,"GO:0070508 cholesterol import "," http://amigo.geneontology.org/amigo/term/GO:0070508"," CD36"
0.051240957301705,1,10,163.435714285714,"GO:0071223 cellular response to lipoteichoic acid "," http://amigo.geneontology.org/amigo/term/GO:0071223"," CD36"
0.051240957301705,3,618,7.93377253814147,"GO:0071407 cellular response to organic cyclic compound "," http://amigo.geneontology.org/amigo/term/GO:0071407"," MSR1  GPD1  ADTRP"
0.051240957301705,1,10,163.435714285714,"GO:0150172 regulation of phosphatidylcholine metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0150172"," ABCA3"
0.051240957301705,1,10,163.435714285714,"GO:1903054 negative regulation of extracellular matrix organization "," http://amigo.geneontology.org/amigo/term/GO:1903054"," ADTRP"
0.0546494743653544,3,650,7.54318681318681,"GO:0051046 regulation of secretion "," http://amigo.geneontology.org/amigo/term/GO:0051046"," LGI3  PRAM1  ADTRP"
0.0562614049407772,4,1318,4.96011272490787,"GO:0042325 regulation of phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0042325"," MARCO  CD36  GPD1  ADTRP"
0.0562614049407772,2,207,15.7908902691511,"GO:1903828 negative regulation of protein localization "," http://amigo.geneontology.org/amigo/term/GO:1903828"," CD36  ADTRP"
0.0567213351796939,2,213,15.3460764587525,"GO:0031334 positive regulation of protein-containing complex assembly "," http://amigo.geneontology.org/amigo/term/GO:0031334"," ABCA3  CD36"
0.0567213351796939,6,3133,3.12995303451735,"GO:0033036 macromolecule localization "," http://amigo.geneontology.org/amigo/term/GO:0033036"," MSR1  PRAM1  CD36  STAC  ABCA3  ADTRP"
0.0567213351796939,1,12,136.196428571429,"GO:0043312 neutrophil degranulation "," http://amigo.geneontology.org/amigo/term/GO:0043312"," PRAM1"
0.0567213351796939,2,214,15.2743658210948,"GO:0051260 protein homooligomerization "," http://amigo.geneontology.org/amigo/term/GO:0051260"," RS1  ABCA3"
0.0567213351796939,1,12,136.196428571429,"GO:0052646 alditol phosphate metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0052646"," GPD1"
0.0567213351796939,1,12,136.196428571429,"GO:1900227 positive regulation of NLRP3 inflammasome complex assembly "," http://amigo.geneontology.org/amigo/term/GO:1900227"," CD36"
0.0596628182606704,6,3183,3.08078632018312,"GO:0002376 immune system process "," http://amigo.geneontology.org/amigo/term/GO:0002376"," SIRPB1  PRAM1  MARCO  CD36  OLR1  ADTRP"
