,ENSG00000022267.19,ENSG00000031081.11,ENSG00000047648.23,ENSG00000066405.13,ENSG00000070778.13,ENSG00000072163.20,ENSG00000072657.9,ENSG00000073754.6,ENSG00000078081.8,ENSG00000092051.17,ENSG00000094963.14,ENSG00000101280.8,ENSG00000102104.9,ENSG00000102683.8,ENSG00000102760.13,ENSG00000105971.15,ENSG00000105974.13,ENSG00000107742.13,ENSG00000108381.11,ENSG00000108576.10,ENSG00000109205.16,ENSG00000111052.7,ENSG00000112782.19,ENSG00000114790.13,ENSG00000114854.8,ENSG00000115361.8,ENSG00000118526.7,ENSG00000120156.22,ENSG00000120913.23,ENSG00000121691.7,ENSG00000123119.12,ENSG00000125459.17,ENSG00000128268.12,ENSG00000131471.7,ENSG00000131831.18,ENSG00000134020.8,ENSG00000134115.13,ENSG00000134917.10,ENSG00000135052.16,ENSG00000135063.19,ENSG00000135218.19,ENSG00000135604.10,ENSG00000136160.17,ENSG00000138821.13,ENSG00000139304.16,ENSG00000139567.13,ENSG00000140600.17,ENSG00000141338.14,ENSG00000143590.14,ENSG00000144843.11,ENSG00000150625.16,ENSG00000151718.16,ENSG00000154342.6,ENSG00000154721.15,ENSG00000154783.12,ENSG00000155511.18,ENSG00000155897.10,ENSG00000157654.19,ENSG00000158435.8,ENSG00000158764.7,ENSG00000159307.19,ENSG00000159708.18,ENSG00000161649.13,ENSG00000163501.7,ENSG00000163815.6,ENSG00000165197.5,ENSG00000166123.14,ENSG00000167434.10,ENSG00000167588.13,ENSG00000168309.18,ENSG00000168481.9,ENSG00000168484.12,ENSG00000168497.5,ENSG00000168539.4,ENSG00000168952.15,ENSG00000169218.14,ENSG00000169252.6,ENSG00000169418.10,ENSG00000170323.9,ENSG00000170989.10,ENSG00000171885.18,ENSG00000176771.17,ENSG00000179133.15,ENSG00000180440.4,ENSG00000182010.11,ENSG00000183010.17,ENSG00000183019.7,ENSG00000186994.11,ENSG00000196616.14,ENSG00000197465.14,ENSG00000198358.4,ENSG00000198873.12,ENSG00000204305.14,ENSG00000213853.10,ENSG00000224215.1,ENSG00000227051.7,ENSG00000234281.5,ENSG00000238018.2,ENSG00000241644.2,ENSG00000243566.7,ENSG00000244215.2,ENSG00000244280.1,ENSG00000248551.1,ENSG00000249741.2,ENSG00000257894.2,ENSG00000261371.6,ENSG00000261863.1,ENSG00000263155.6,ENSG00000268388.6,ENSG00000277494.2,Label
TCGA-73-4658-01A-01R-1755-07,1768,1872,300,607,852,903,27,0,3473,20,2011,16,10,24,3172,3668,4412,3269,39,63,4,140,433,555,52,42,95,710,1048,5329,52,349,146,4131,450,402,12,97,9748,117,724,651,1483,5264,1,1913,7,316,313,725,57,1023,7,480,1328,36,0,6707,2011,6,62,29,9,6,182,61,668,69,55,1270,61,13310,3149,1,132,26,199,637,202,1884,1184,150,4,1,275,3643,173,177,2279,14,0,1279,998,9604,2,832,6,8,1669,82,1,8,0,16,10,13100,1,39,216,79,1
TCGA-55-8615-01A-11R-2403-07,122,353,299,16,671,324,0,0,842,20,275,6,4,1,1038,241,500,616,34,35,0,33,31,270,19,1,23,143,210,2038,10,827,50,750,146,55,2,6,27085,154,317,72,224,1687,7,935,0,63,74,229,2,568,2,211,421,1,0,2360,2884,17,324,53,0,83,5599,11,11072,14,54,148,2,282,275,0,12,16,125,282,34,501,178,1166,0,0,350,4515,258,109,32,3,0,1679,531,1988,0,186,2,37,300,1,0,0,0,0,4,3665,0,11,24,90,1
TCGA-97-8177-01A-11R-2287-07,1702,2716,301,1034,702,1317,49,6,15644,88,2139,33,11,54,5613,3173,4404,2648,72,16,207,189,2522,612,795,594,253,596,2096,11434,750,746,299,5925,1167,2429,58,476,9235,749,2257,927,717,23573,3,2499,21,631,337,703,73,1573,184,800,1387,37,5,4190,5332,1,65,1931,16,37,138,524,3510,7,421,296,382,121279,3103,2,107,73,588,604,159,1485,5723,211,12,21,221,5966,1450,301,3492,37,1,1243,6188,16278,2,948,17,43,1371,333,3,76,0,13,40,19030,4,128,113,622,1
TCGA-67-3771-01A-01R-0946-07,520,718,120,86,434,431,8,3,1723,30,828,2,1,21,2114,1915,8280,1646,29,30,0,74,547,570,1247,10,49,162,557,4069,225,1072,132,1527,251,12,6,53,3498,193,708,320,395,1641,6,840,2,99,466,660,26,424,4,231,312,13,4,3588,4767,18,23,41,8,7,60,40,945,16,24,344,6,546,1320,2,40,12,55,137,63,646,606,68,4,109,744,4162,724,88,863,31,1,442,306,5178,1,307,7,21,300,1145,30,2,0,17,50,5288,0,11,37,66,1
TCGA-49-6744-01A-11R-1858-07,2505,3135,285,3258,787,1136,52,7,5610,108,3174,36,12,51,2976,3880,7067,5452,59,54,7,208,2007,523,433,142,424,949,916,5478,101,592,191,4950,806,485,82,623,10703,490,2394,588,1004,5850,15,2125,10,707,214,1183,152,2046,37,769,1428,212,11,5426,2632,43,226,65,147,10,361,913,1755,179,338,1932,257,59646,5051,6,307,122,418,807,217,2848,4253,349,17,21,938,4435,722,152,5318,24,2,1304,5354,13843,3,585,35,77,3816,320,6,102,5,7,59,13679,4,65,234,785,1
TCGA-MP-A4SW-01A-21R-A24X-07,607,2314,106,802,747,791,10,7,4890,44,815,15,9,8,1376,2730,2716,3053,39,77,19,65,2145,953,249,413,64,299,932,5652,65,721,1630,1447,311,169,50,152,10695,1081,824,428,396,9991,11,979,1,286,115,545,44,1013,37,320,833,40,7,2504,7254,6,58,311,2,48,70,108,2178,18,150,250,66,14284,941,2,41,7,237,575,58,661,5280,43,9,4,388,5376,282,263,649,21,3,837,1583,17168,0,313,8,64,621,260,0,79,0,5,8,6128,13,38,114,145,1
TCGA-97-8176-01A-11R-2403-07,461,910,148,547,371,333,11,1,2046,27,482,17,3,9,825,1611,1978,6882,12,15,1,95,308,534,88,112,52,439,303,2616,49,643,252,832,210,562,44,49,23679,155,755,203,454,2717,4,1232,9,72,76,668,60,769,15,304,594,18,0,2366,3442,3,47,91,7,22,102,35,8233,56,70,368,51,4019,871,6,66,3,91,461,50,1092,1883,57,16,3,328,6130,198,200,351,7,2,1706,1231,4722,0,183,8,29,242,383,0,12,0,5,25,6215,1,80,177,133,1
TCGA-97-7552-01A-11R-2039-07,4506,3650,619,88132,1571,783,60,11,14824,95,4307,20,19,11,2090,6320,8986,8460,275,40,59,164,4666,576,257,279,632,1306,1081,8330,610,239,1343,5345,1113,883,84,725,22735,607,1128,824,2289,7762,86,1873,12,1634,36,1178,260,2212,23,1075,2432,344,0,8610,3189,44,567,85,45,1503,327,377,1031,256,130,553,43,11575,2792,15,552,69,390,553,37,2058,13624,410,90,0,1108,740,66,261,7091,54,3,2065,5753,8333,9,1089,42,73,2095,1334,1,101,0,23,75,16857,6,211,622,386,1
TCGA-55-A48Z-01A-12R-A24X-07,552,726,143,9,597,941,3,6,1153,32,960,5,0,20,1048,1799,1782,1669,9,10,0,96,455,478,28,69,57,199,822,1969,67,706,349,2694,639,37,100,56,15087,1028,125,285,247,3508,0,1416,0,93,491,588,18,880,10,503,710,3,2,3804,5903,0,66,41,2,8,39,24,1386,6,40,32,1,135,251,0,82,12,374,757,10,338,298,171,20,9,587,2670,28,114,56,10,0,458,348,6471,8,816,19,59,158,160,0,6,1,1,20,5341,0,46,69,64,1
TCGA-50-5944-01A-11R-1755-07,4030,3500,298,201,1404,751,148,2,4699,58,3686,46,4,18,3262,4933,4674,645,77,6,67,88,5991,832,293,135,364,422,1001,4530,72,330,110,8020,469,999,845,971,3290,441,1546,439,422,6737,43,908,2,1409,49,619,173,2158,16,383,778,303,0,3766,3318,2,115,22,14,15,201,499,1350,5,472,144,105,19163,3410,2,141,75,522,233,154,567,11703,116,9,1,144,2193,678,67,6582,6,0,627,2399,21053,2,2344,7,25,3065,72,8,48,0,7,391,6872,0,33,178,140,1
TCGA-MN-A4N5-01A-11R-A24X-07,872,1407,149,1059,1175,1421,12,4,5382,18,1214,17,7,13,1537,3053,3145,3450,40,65,7,90,1206,1419,230,165,86,394,830,2944,88,1033,157,1134,400,837,60,135,15992,898,504,498,533,13080,6,1850,7,196,251,875,50,765,48,343,607,26,0,3919,7700,25,171,89,5,40,189,97,883,143,141,205,95,21917,1214,2,177,13,89,466,127,880,5190,89,33,5,805,4016,51,197,876,16,1,868,3528,7773,10,518,17,118,564,237,7,121,2,5,17,7441,7,188,245,62,1
TCGA-75-5146-01A-01R-1628-07,2080,729,165,9634,483,541,14,0,1560,46,1786,2,6,9,4258,4068,3454,1558,44,14,16,77,2434,276,1401,47,167,432,623,3156,37,292,71,1985,459,7200,115,224,7982,535,460,349,1059,2518,9,956,3,429,64,368,139,1107,25,718,366,67,1,951,2298,0,30,49,70,4,427,435,2376,131,35,652,13,12155,2193,5,85,38,227,185,31,965,21248,412,15,1,436,3185,36,167,8184,11,0,499,1299,6786,4,484,22,63,3158,17,1,127,0,6,180,6033,74,66,130,36,1
TCGA-97-7546-01A-11R-2039-07,7713,4105,677,5270,1087,656,173,3,9250,73,4687,19,12,40,3664,7920,11866,3971,89,24,4,164,6373,1199,416,421,573,690,1356,7996,89,429,299,7429,699,3589,432,2453,5947,2312,1837,799,1213,13002,60,1764,2,2368,83,1118,325,4287,11,795,1255,404,3,8684,2941,6,106,242,129,122,145,1110,417,15,431,1445,395,201190,4396,1,274,110,1283,1512,296,2136,39877,801,22,64,361,948,411,159,13095,41,2,1122,14705,31808,0,2326,113,53,4594,59,1,36,0,16,296,8533,3,32,123,349,1
TCGA-55-7911-01A-11R-2170-07,496,1227,93,517,602,1094,6,1,4940,27,431,6,4,7,1221,941,1752,3500,68,25,1,54,511,467,121,120,57,875,586,3511,92,663,509,879,217,985,15,45,5804,684,690,554,668,2672,8,1345,4,107,46,627,49,445,4,317,483,25,0,3220,5249,5,378,66,12,7,104,63,769,78,28,161,40,7488,10800,6,60,6,121,293,15,864,2853,45,4,8,458,3435,107,90,586,14,0,528,982,18428,0,178,24,52,288,88,0,4,0,6,18,7682,2,43,243,68,1
TCGA-44-5643-01A-01R-1628-07,732,598,91,337,155,271,3,1,3633,13,171,49,2,69,488,2380,1070,1905,18,49,1,24,270,845,56,15,14,137,217,2461,26,227,470,242,114,133,10,28,5955,60,233,461,212,616,45,366,193,115,17,732,25,362,357,150,251,11,0,896,4046,23,21,3,8,3,29,40,2374,20,27,445,642,10620,1160,5,834,2,149,113,33,541,412,76,39,3,367,915,11,32,191,9,7,282,1289,7635,1,221,6,9,132,2097,0,3,0,3,1,2603,1,32,16,50,1
TCGA-86-8279-01A-11R-2287-07,992,1869,88,103,1234,1550,3,3,8266,62,3002,9,14,31,1819,5224,5908,1411,21,3,40,69,4539,1042,783,12,89,449,1687,6037,44,1082,202,4803,604,456,13,68,10170,643,1428,232,320,4540,8,2032,4,54,859,1023,3,1931,41,658,1295,17,0,3216,4665,5,79,111,5,3,177,14,7195,82,75,427,6,2019,1979,0,56,30,288,543,35,788,8935,54,2,2,310,13329,241,177,216,15,1,616,619,14206,0,2042,12,69,581,55,1,276,0,13,50,9291,1,44,152,73,1
TCGA-75-6212-01A-11R-1755-07,631,2957,117,1238,426,247,19,5,15270,34,501,13,3,11,1162,1256,1875,1496,15,19,19,62,555,290,96,500,95,312,354,4131,102,254,146,991,574,11934,18,53,1508,149,1030,219,801,7818,9,986,1,137,107,487,131,885,8,363,538,83,6,2245,1250,9,80,54,30,30,174,117,2059,100,545,192,313,109686,870,1,99,1,546,662,69,683,2141,147,0,7,367,1412,174,54,1362,15,2,454,1469,5238,2,134,45,24,866,97,0,8,1,8,15,6178,3,61,122,78,1
TCGA-55-8299-01A-11R-2287-07,1508,3176,333,1424,1186,1382,14,17,12983,37,1836,9,7,5,3149,4162,8479,6464,122,28,23,218,2303,878,303,363,183,1376,1366,5474,290,663,295,5816,1041,3407,178,105,10685,355,1882,816,1062,8019,34,5574,2,599,98,1161,95,2687,6,1159,1870,32,1,7919,2594,12,404,97,24,55,446,103,1385,46,28,540,22,2557,3258,2,105,44,227,1190,140,3638,16382,76,2,5,668,3525,105,302,1362,32,0,2752,6101,6671,2,1805,29,52,715,468,1,88,0,24,53,24830,5,76,307,378,1
TCGA-83-5908-01A-21R-2287-07,617,1224,159,39,555,382,1,2,2411,13,2093,10,0,5,1220,6386,8785,3746,12,5,0,79,1060,824,14,11,69,461,2073,2599,50,1429,93,1162,350,71,8,69,33558,424,414,814,385,3692,4,1861,3,935,119,692,27,2260,8,398,1017,5,0,10865,3453,0,863,63,2,6,86,16,3197,50,42,213,0,357,955,2,160,18,207,209,11,1166,226,34,11,2,1018,3347,32,76,563,43,2,1576,376,2969,1,336,9,108,188,50,0,56,3,33,35,7797,1,72,262,43,1
TCGA-44-2655-01A-01R-0946-07,5353,2844,520,10644,1968,1731,90,17,15112,82,3235,31,40,45,5719,12015,20530,6032,123,532,79,294,4058,980,1217,545,359,1127,1740,17556,452,1164,546,5329,809,2646,133,772,20557,889,2462,1065,2848,16731,49,2741,55,929,382,2500,721,2003,78,1089,1363,293,25,5842,5784,231,271,372,92,84,924,559,1576,353,585,911,951,307060,5060,12,366,77,623,1344,2239,2685,13072,268,39,118,2137,5666,1273,344,10041,77,11,1686,19184,23679,5,1065,96,74,4724,917,21,39,4,25,311,15631,63,234,697,488,1
TCGA-50-6597-01A-11R-1858-07,712,1728,54,16,242,291,2,2,3213,19,303,2,10,2,700,1807,585,2000,29,3,3,5,297,103,449,231,76,51,373,1289,20,186,134,1096,181,286,5,99,4839,324,155,149,89,4520,0,559,1,78,276,919,20,277,6,224,171,29,1,1865,2883,2,11,73,3,1,131,181,1992,41,135,105,6,239,677,3,85,4,72,2432,17,285,279,12,23,0,55,481,4,24,1484,2,0,91,930,4803,0,128,7,7,994,15,3,5,0,0,6,1745,0,31,12,9,1
TCGA-44-6147-01B-06R-A277-07,3922,1416,471,440,818,158,206,11,2004,33,1660,10,21,6,1062,3213,6020,751,137,27,1,407,766,999,7,187,397,325,134,1058,337,84,26,1049,127,28,10,59,1604,957,583,337,1674,1954,31,217,10,1156,32,558,160,937,3,545,414,33,2,4946,1404,0,141,33,3,2,4,153,469,1,10,507,7,624,1840,3,181,39,124,190,59,1150,2684,84,34,1,866,148,5,16,3521,50,1,317,72,2702,0,532,72,257,901,6,0,9,1,6,40,3356,0,24,57,8,1
TCGA-44-6776-01A-11R-1858-07,1187,963,118,6761,967,604,12,1,5460,31,768,5,31,5,2529,4863,13371,1515,22,17,10,50,834,437,280,528,166,310,1058,4338,217,380,54,1923,282,7367,8,183,24710,501,932,143,1438,6618,12,971,0,204,125,352,53,1501,8,309,374,84,0,1297,1917,20,33,156,106,14,234,520,1561,226,93,618,339,42176,2830,6,89,17,135,1023,67,721,5132,47,1,5,206,2690,24,111,2365,25,2,501,3515,15731,0,336,40,32,2408,98,1,36,1,15,295,5653,6,84,103,90,1
TCGA-55-8511-01A-11R-2403-07,486,1072,109,98,387,436,3,0,972,32,567,18,1,24,784,3481,2366,2598,14,6,3,50,804,425,81,4,55,221,1272,974,12,1010,130,2069,244,196,0,69,16943,1066,308,455,283,2977,7,926,0,80,140,368,7,608,9,263,778,14,0,2281,2977,3,58,32,1,2,25,75,1416,5,24,120,19,5611,217,0,28,40,51,234,25,542,169,19,9,1,297,13085,17,156,340,5,1,599,618,1238,1,224,1,60,174,35,0,3,0,8,5,4437,2,20,28,38,1
TCGA-95-7948-01A-11R-2187-07,556,472,94,131,693,686,1,339,755,22,641,8,2,3,1518,11590,24796,702,34,12,31,178,1904,755,1231,10,46,296,1052,7476,26,814,313,476,807,214,26,151,8586,4886,203,120,131,1228,3,655,8,504,172,1246,35,6462,16,306,336,9,0,4974,3563,1,11151,53,4,51,90,67,637,5,106,266,21,8756,1595,0,121,18,71,155,47,693,19028,37,1,1,102,13548,25,111,537,10,0,278,561,24350,0,478,6,16,858,943,1,1617,3,1,634,5242,1,44,45,47,1
TCGA-97-8172-01A-11R-2287-07,18055,4954,840,10530,2464,2363,269,14,7348,204,10874,75,1,101,9934,2414,6351,7960,467,22,9,274,1478,1112,212,159,1816,1108,3938,9850,87,676,542,19140,1351,321,4,3095,70642,2863,1004,733,1727,5255,72,2456,5,4288,116,1266,261,3560,5,1311,2034,1458,88,9822,4710,1,344,723,169,32,690,2459,10933,14,280,1073,321,81163,4050,3,258,305,586,1076,360,3106,1886,449,2,54,387,3358,701,578,34926,69,0,2897,1604,18660,4,3013,12,327,10311,104,4,26,0,40,10,16014,2,100,440,130,1
TCGA-55-6979-01A-11R-1949-07,519,1571,147,855,523,470,5,1,3144,33,610,27,2,9,1323,1642,2191,3201,27,26,9,90,824,316,91,59,88,355,435,2460,65,372,116,1005,301,249,32,38,11881,336,589,705,581,3813,8,1373,3,163,93,785,35,773,8,315,871,20,4,5617,2857,12,52,66,9,7,93,80,1040,26,34,173,41,12934,707,1,70,6,242,210,36,920,2020,239,5,5,609,3199,63,131,732,3,0,723,1432,3395,2,470,8,26,468,153,3,59,0,2,22,8571,8,94,141,96,1
TCGA-05-4410-01A-21R-1858-07,609,975,73,50,453,260,8,2,3407,19,947,11,1,6,549,3057,1030,1618,39,9,2,35,437,970,123,20,65,231,228,2756,11,312,344,1283,193,76,2,110,12926,484,230,271,181,4167,7,544,1,258,61,441,24,1063,8,233,302,23,0,1700,3449,0,130,9,4,4,47,83,793,53,63,238,11,2115,723,2,40,20,64,205,27,393,3890,28,19,0,127,1818,17,43,2376,6,1,300,137,6439,0,229,6,26,490,120,0,4,0,4,26,4720,0,5,45,37,1
TCGA-64-1677-01A-01R-0946-07,235,215,40,62,145,100,0,3,1364,4,150,0,0,0,633,774,728,568,9,5,6,19,223,170,161,115,26,62,201,2130,58,444,25,209,48,142,6,6,3953,1020,119,122,134,1305,3,238,0,61,87,128,5,324,0,90,62,1,10,661,2247,9,12,27,1,1,29,3,980,10,20,27,4,1296,469,1,65,0,155,34,15,227,1124,14,0,59,514,1546,25,15,79,4,1,171,516,2108,0,251,4,13,122,21,1,1,0,2,14,1851,1,16,28,11,1
TCGA-78-7633-01A-11R-2066-07,1955,5572,401,3087,2577,1440,24,2,5246,102,1892,10,1147,8,6467,14177,18473,4393,82,306,5,225,2101,1020,755,142,359,1330,832,14034,140,901,254,3105,887,6044,111,156,8934,629,2610,434,4395,7399,28,5044,6,4964,96,3097,129,3442,41,1260,2210,140,3,6020,5132,54,118,60,105,11,794,190,14648,787,52,1602,193,40798,4412,9,494,16,217,1938,54,3706,16033,351,9,22,1049,7105,142,395,3636,12,1,1972,9374,49350,5,889,76,48,2649,577,6,350,1,9,381,32251,3,162,464,419,1
TCGA-55-7724-01A-11R-2170-07,3621,1816,143,3717,790,179,65,12,7152,37,2221,12,14,40,2988,3997,9193,1658,46,215,19,193,2157,969,201,282,386,700,277,2683,163,156,307,3544,271,717,66,265,1670,713,2438,427,1342,4968,34,1071,39,467,260,646,265,927,23,460,685,201,9,5724,1729,83,113,151,7,10,75,1203,393,140,241,792,494,28497,2432,4,450,49,335,328,1123,1267,6561,357,19,62,1828,157,470,13,6294,28,14,946,4751,11014,5,794,13,101,4419,243,1,21,8,8,39,12503,26,107,383,188,1
TCGA-05-4405-01A-21R-1858-07,671,1665,131,292,658,392,31,3,2807,27,908,14,0,8,962,2490,1445,631,27,7,2,55,1296,669,297,45,88,318,601,4378,63,475,127,2731,289,647,600,124,10609,885,252,180,313,3140,4,861,2,470,119,409,16,897,5,330,806,8,0,2231,2715,7,126,52,16,8,48,55,787,3,145,56,96,26909,1630,0,29,18,208,453,31,454,3598,48,2,3,194,2634,63,167,1743,14,1,700,802,7357,1,581,12,22,564,28,10,139,0,3,11,4877,0,15,50,70,1
TCGA-J2-8194-01A-11R-2241-07,1039,2704,492,376,1302,502,6,13,3042,54,390,5,90,5,4129,6646,10686,2967,61,13,3,234,718,508,122,342,155,898,536,9109,130,942,90,2462,348,582,194,94,14248,347,870,594,3720,4875,6,2991,7,567,201,796,32,1640,16,793,1274,31,0,6555,5348,2,73,68,15,18,294,238,10855,215,52,1203,188,2538,3050,0,220,3,695,1192,25,3162,5117,88,11,9,344,5611,114,265,2102,11,0,1833,941,13830,1,547,11,54,936,45,0,55,2,5,12,19495,0,118,520,343,1
TCGA-44-8119-01A-11R-2241-07,1144,1946,314,102,897,1462,1973,8,2321,40,903,15,6,6,2057,2276,3625,3413,30,32,4,339,460,534,174,45,1378,1120,613,8276,140,643,376,3094,486,18,26,15,35190,692,1543,665,858,4404,13,3484,0,421,325,849,62,5256,7,690,1864,941,2,8840,4592,1,156,74,4,3,67,26,10901,11,128,610,9,734,1712,6,173,107,53,453,441,2475,25,4354,7,26,1244,8020,204,520,465,9,0,7644,269,5910,1,1296,31,44,751,92,0,3,2,19,343,20338,1,132,17,46,1
TCGA-62-A471-01A-12R-A24H-07,263,240,54,37,412,279,1,0,1432,4,177,2,0,2,549,2701,4308,930,21,5,0,25,115,132,19,23,16,98,243,2339,15,836,37,600,98,56,8,33,42913,31,301,132,149,2144,1,579,7,29,398,170,4,672,143,125,296,1,2,908,5090,4,67,22,0,2,28,83,6318,28,366,70,8,354,206,0,16,0,92,442,133,674,277,59,4,0,280,5874,28,138,37,2,0,357,692,1481,1,192,5,49,108,265,0,22,0,0,10,4132,0,51,109,28,1
TCGA-86-8674-01A-21R-2403-07,143,227,48,23,475,456,1,0,773,13,95,3,1,0,407,1192,1042,491,8,4,2,25,136,180,41,23,11,139,611,4690,12,1005,57,269,104,133,3,44,42486,59,66,54,234,923,0,522,1,43,265,558,5,476,0,197,296,23,1,559,2766,1,34,18,0,3,36,52,5837,14,30,57,3,225,385,0,7,5,14,144,20,385,365,10,0,1,242,5440,4,73,12,4,0,185,265,5536,0,95,6,6,103,881,2,0,0,0,89,4772,0,24,56,46,1
TCGA-55-A48Y-01A-11R-A24H-07,763,1315,151,81,693,395,4,1,530,10,735,2,1,5,3635,1590,2019,1670,47,3,1,227,1356,277,91,124,77,578,356,3787,47,437,179,2428,293,104,14,19,19343,61,669,148,493,1707,2,1914,0,151,180,1029,12,613,1,611,903,11,0,4103,4172,0,17,34,2,0,87,12,2779,8,98,181,1,45,556,0,40,0,31,431,47,1175,1094,31,0,0,437,7168,44,104,97,12,0,1154,440,8440,0,496,10,25,265,29,0,7,0,2,37,10297,0,37,48,81,1
TCGA-91-6829-01A-21R-1858-07,1720,1987,185,20,1225,787,4,0,1586,46,2541,14,0,6,1443,2433,2642,1736,56,14,4,1001,2754,862,130,74,155,441,719,4371,69,434,197,4568,492,184,323,71,15060,391,672,264,553,1242,5,1647,0,770,108,709,93,2551,1,645,1039,26,3,5656,3499,2,81,15,1,0,46,38,3003,4,16,218,5,79,1011,0,33,79,234,485,71,961,7114,40,17,18,298,3753,54,92,1757,9,0,1175,988,10820,3,881,6,26,882,24,0,106,0,4,21,9223,3,21,77,153,1
TCGA-69-7763-01A-11R-2170-07,2514,1920,380,2507,1369,1476,77,7,8327,54,2936,27,10,59,4604,2992,6644,2885,52,661,17,181,1487,551,307,204,283,1189,690,2713,148,417,456,5623,690,1875,59,456,6239,629,1639,453,1866,5297,17,2432,24,582,165,780,140,1185,44,1047,1153,192,22,3163,2589,79,124,112,80,56,469,538,6952,337,362,2869,395,91988,3268,20,404,49,262,949,655,2267,3307,211,17,30,1032,1771,467,201,4738,28,1,1820,6464,9050,7,882,32,42,3514,683,16,31,3,12,52,15638,6,191,618,440,1
TCGA-64-5779-01A-01R-1628-07,474,814,163,185,435,408,4,1,643,12,2351,3,0,13,1621,657,1196,1756,84,25,0,133,270,446,133,23,73,270,300,2089,39,212,128,2559,387,9,4,37,3997,526,499,178,374,1160,7,971,0,185,61,457,3,2224,5,371,608,4,1,4586,5458,3,21,35,2,1,64,26,5335,5,11,289,7,26,872,0,25,32,78,225,18,832,78,1536,1,2,730,2265,34,87,447,7,1,1490,165,2600,2,576,10,93,756,3,0,4,1,8,21,8177,2,11,54,128,1
TCGA-78-8640-01A-11R-2403-07,471,589,63,2189,239,358,12,9,2871,23,770,12,11,8,929,1298,2341,2349,12,379,7,41,859,306,502,121,59,198,346,1564,44,2787,286,1581,169,578,44,76,19821,214,452,373,311,2396,62,905,19,120,430,281,57,2127,34,178,405,24,3,3500,4028,72,93,75,20,23,107,131,4413,139,320,305,345,66250,1032,3,61,12,127,183,372,452,1828,318,5,20,813,7134,372,150,394,12,4,600,5605,6566,6,295,27,40,403,317,20,28,2,3,19,4395,6,47,132,114,1
TCGA-64-1680-01A-02R-0946-07,658,259,58,870,268,273,11,0,6724,20,689,1,4,5,1721,2248,1276,493,15,22,9,20,286,135,186,125,50,196,563,3309,45,400,252,955,448,674,11,99,5422,125,556,150,373,12288,2,415,5,170,84,165,30,449,3,249,101,29,3,410,2183,4,14,49,15,5,104,183,390,135,50,310,95,31971,3176,3,92,9,141,160,19,529,7591,25,43,1,137,1715,1,49,1698,6,0,161,631,9889,4,234,12,10,1011,47,0,3,0,5,6,3662,2,34,88,96,1
TCGA-55-6980-01A-11R-1949-07,944,1220,132,225,608,722,16,1,852,49,839,10,0,24,1671,3869,3814,2797,27,2,1,97,339,182,94,46,114,170,528,1985,41,284,160,4181,426,31,36,302,6304,310,214,204,307,1520,2,795,2,327,75,547,28,681,11,250,561,79,0,2776,1725,1,155,18,3,10,66,68,1435,21,141,171,8,1228,1154,0,42,16,233,548,42,492,432,62,2,3,120,1356,452,77,1389,9,0,422,199,5181,1,857,6,13,927,57,2,17,1,4,48,4853,0,27,79,113,1
TCGA-86-8585-01A-11R-2403-07,618,622,90,550,472,425,7,2,1581,26,564,10,6,1,858,1011,1048,2499,32,8,3,67,288,172,166,105,70,76,363,1474,38,588,156,1476,268,206,8,58,13173,134,218,437,191,1200,15,876,3,47,456,377,13,712,196,247,426,7,0,1291,2101,9,51,66,1,6,37,107,1715,47,59,140,93,23086,798,2,26,32,75,172,129,524,502,17,7,0,348,4040,80,192,523,4,0,397,1242,2421,2,395,11,97,627,1179,5,11,0,4,10,2880,0,72,38,47,1
TCGA-75-6211-01A-11R-1755-07,200,549,95,28,197,412,1,0,286,22,507,5,1,2,864,371,592,1555,6,1,0,57,131,335,83,5,35,351,165,4319,24,424,93,1117,165,15,2,6,8236,17,107,129,270,1113,5,815,0,82,167,182,2,272,2,344,449,1,0,3521,3424,0,108,22,0,2,99,16,3104,9,40,233,1,34,334,0,32,11,34,177,20,629,61,192,3,0,576,2566,21,74,106,6,0,1473,66,5581,0,528,5,9,200,12,0,2,0,3,23,6769,0,20,66,23,1
TCGA-50-5066-01A-01R-1628-07,1076,410,72,358,183,318,29,2,718,16,571,0,1,8,2692,9958,13952,1378,27,7,14,186,370,148,353,28,44,290,332,3944,261,245,43,432,211,423,8,16,4605,87,295,594,391,2759,8,799,1,111,90,286,40,573,4,334,248,8,26,1240,1476,8,20,85,8,2,134,85,403,27,25,105,23,27686,651,2,437,19,63,115,425,1030,927,18,2,0,313,1403,108,69,797,28,0,254,535,2331,9,682,13,4,334,135,0,19,1,20,9,5937,1,32,21,29,1
TCGA-78-7149-01A-11R-2039-07,1243,1189,308,7,749,1551,4,2,315,78,532,2,22,4,3591,4917,7095,3100,53,11,2,123,1684,355,462,296,101,1276,1156,4678,50,709,100,2372,437,667,10,110,5904,275,1501,153,2035,2140,2,3074,1,1178,418,923,30,611,20,1869,1376,20,0,3238,3220,4,101,45,43,11,515,223,1213,316,39,599,32,28,2303,1,138,3,62,1210,29,1808,6610,38,12,0,230,5277,12,332,1163,5,2,1042,2230,21259,0,769,28,21,1049,513,0,24,0,4,253,19707,1,77,202,112,1
