,ENSG00000022267.19,ENSG00000031081.11,ENSG00000047648.23,ENSG00000066405.13,ENSG00000070778.13,ENSG00000072163.20,ENSG00000072657.9,ENSG00000073754.6,ENSG00000078081.8,ENSG00000092051.17,ENSG00000094963.14,ENSG00000101280.8,ENSG00000102104.9,ENSG00000102683.8,ENSG00000102760.13,ENSG00000105971.15,ENSG00000105974.13,ENSG00000107742.13,ENSG00000108381.11,ENSG00000108576.10,ENSG00000109205.16,ENSG00000111052.7,ENSG00000112782.19,ENSG00000114790.13,ENSG00000114854.8,ENSG00000115361.8,ENSG00000118526.7,ENSG00000120156.22,ENSG00000120913.23,ENSG00000121691.7,ENSG00000123119.12,ENSG00000125459.17,ENSG00000128268.12,ENSG00000131471.7,ENSG00000131831.18,ENSG00000134020.8,ENSG00000134115.13,ENSG00000134917.10,ENSG00000135052.16,ENSG00000135063.19,ENSG00000135218.19,ENSG00000135604.10,ENSG00000136160.17,ENSG00000138821.13,ENSG00000139304.16,ENSG00000139567.13,ENSG00000140600.17,ENSG00000141338.14,ENSG00000143590.14,ENSG00000144843.11,ENSG00000150625.16,ENSG00000151718.16,ENSG00000154342.6,ENSG00000154721.15,ENSG00000154783.12,ENSG00000155511.18,ENSG00000155897.10,ENSG00000157654.19,ENSG00000158435.8,ENSG00000158764.7,ENSG00000159307.19,ENSG00000159708.18,ENSG00000161649.13,ENSG00000163501.7,ENSG00000163815.6,ENSG00000165197.5,ENSG00000166123.14,ENSG00000167434.10,ENSG00000167588.13,ENSG00000168309.18,ENSG00000168481.9,ENSG00000168484.12,ENSG00000168497.5,ENSG00000168539.4,ENSG00000168952.15,ENSG00000169218.14,ENSG00000169252.6,ENSG00000169418.10,ENSG00000170323.9,ENSG00000170989.10,ENSG00000171885.18,ENSG00000176771.17,ENSG00000179133.15,ENSG00000180440.4,ENSG00000182010.11,ENSG00000183010.17,ENSG00000183019.7,ENSG00000186994.11,ENSG00000196616.14,ENSG00000197465.14,ENSG00000198358.4,ENSG00000198873.12,ENSG00000204305.14,ENSG00000213853.10,ENSG00000224215.1,ENSG00000227051.7,ENSG00000234281.5,ENSG00000238018.2,ENSG00000241644.2,ENSG00000243566.7,ENSG00000244215.2,ENSG00000244280.1,ENSG00000248551.1,ENSG00000249741.2,ENSG00000257894.2,ENSG00000261371.6,ENSG00000261863.1,ENSG00000263155.6,ENSG00000268388.6,ENSG00000277494.2,Label
TCGA-44-5645-01B-04R-A277-07,2091,3585,323,357,1298,154,84,36,5399,30,1556,16,9,11,450,2381,2178,934,218,38,22,307,2065,634,13,414,484,343,339,2276,835,113,58,1136,417,106,1073,272,2462,1604,1031,235,629,3354,75,245,13,2439,10,336,112,2431,3,624,495,547,5,2641,1157,2,93,462,11,3,9,259,299,1,32,67,30,4054,1400,0,94,34,299,79,16,495,10292,322,17,4,1154,31,48,16,7518,83,2,360,216,4401,1,512,174,189,780,11,2,110,2,9,72,3208,2,77,472,15,1
TCGA-55-A493-01A-11R-A24H-07,1290,1431,106,9,351,950,259,13,970,44,354,7,0,7,871,2826,3216,2331,17,25,1,55,128,1313,18,6,42,81,585,1340,25,621,182,785,177,30,1,52,11063,319,442,504,85,2192,14,1208,0,43,65,412,115,1160,31,164,927,1,0,6666,3386,0,75,43,0,9,8,6,1545,13,49,55,14,41,99,0,16,4,55,120,26,472,56,49,8,0,349,3296,271,92,182,14,0,832,351,6522,0,220,6,128,66,42,3,2,0,9,6,4615,0,21,28,71,1
TCGA-55-6985-01A-11R-1949-07,641,1077,95,264,694,483,3,0,3642,43,473,3,4,6,1282,2106,2365,3567,28,12,19,110,1861,348,114,51,37,276,716,2271,67,236,206,1491,398,347,81,195,11395,381,365,450,266,2636,6,1047,21,214,159,604,37,806,127,398,621,5,0,3454,1807,1,112,77,2,18,105,34,1013,41,56,509,53,10022,653,7,117,19,155,227,61,645,2322,39,99,10,358,2086,69,160,533,7,0,524,843,7596,2,1195,6,10,367,44,0,81,0,5,16,5414,7,25,114,45,1
TCGA-55-6543-01A-11R-1755-07,1151,1066,111,1672,1120,513,27,6,1505,54,2200,12,2,42,2460,5163,5650,3344,25,37,9,86,2611,786,177,68,67,358,1277,3688,28,507,258,1880,208,551,222,189,7549,705,1005,507,327,5911,13,963,16,86,84,466,95,1197,25,243,740,38,3,3068,2288,45,93,39,22,16,167,129,2142,73,283,307,69,17908,1817,0,64,7,945,318,91,659,5854,164,5,14,475,2267,728,118,919,13,1,584,4754,7167,1,1360,13,30,697,482,5,24,0,7,38,7120,8,34,147,58,1
TCGA-50-5936-01A-11R-1628-07,252,822,70,9,527,252,1,0,3026,8,859,10,0,10,1557,894,998,1261,14,6,0,65,111,147,83,60,131,203,321,2025,53,320,94,1422,256,164,12,14,14652,71,2564,139,257,1314,0,1033,21,157,106,393,6,682,1,216,591,23,3,2602,1299,3,105,11,3,4,22,15,1568,11,32,116,9,214,1961,9,337,3,40,141,98,480,975,24,3,1,156,2005,122,85,403,6,0,424,51,4598,1,401,5,18,140,62,0,9,0,5,2,5200,0,25,90,60,1
TCGA-05-4432-01A-01R-1206-07,1118,1733,305,4555,1442,713,31,5,6025,54,1083,12,11,10,3676,1663,3637,5151,55,136,8,160,1202,559,279,109,117,550,939,3370,75,1039,562,2772,687,569,48,101,52011,1157,990,915,662,3702,6,2314,14,326,1130,951,78,2722,17,592,1186,17,9,6077,6875,132,144,59,13,18,360,203,15919,161,228,542,221,30314,2956,4,100,28,167,596,189,1339,2298,1465,10,9,1601,11864,481,201,1009,12,13,4582,3516,9263,3,1393,14,73,866,195,9,18,0,14,37,14779,13,46,168,235,1
TCGA-93-7348-01A-21R-2039-07,767,1530,179,301,600,541,3,0,1239,25,1519,13,2,1,1436,1445,1643,1915,29,7,8,150,402,393,62,361,65,430,611,3275,169,756,205,1226,739,344,5,143,14980,366,217,171,368,4118,3,1087,1,279,210,454,31,813,65,518,910,9,2,2997,3063,6,48,108,0,25,75,20,901,7,702,309,13,4400,488,0,77,32,223,266,20,966,1023,57,30,2,163,3538,22,111,1013,6,2,672,226,7152,0,603,5,23,281,109,0,2,0,8,25,6692,1,44,74,99,1
TCGA-55-6984-01A-11R-1949-07,289,560,66,26312,479,249,0,0,1187,7,186,11,0,4,822,4937,2499,1253,6,6,34,43,460,137,45,54,18,247,268,2295,50,282,1312,623,152,307,36,34,39485,181,179,139,153,743,12,781,4,93,424,219,16,785,2,158,2133,7,0,1505,2337,1,30,21,2,232,27,25,1441,15,183,88,0,27,333,1,62,4,95,112,9,528,1518,39,11,1,190,1746,52,59,137,8,0,860,363,3721,0,209,3,44,198,41,0,11,0,5,7,3514,1,153,136,122,1
TCGA-78-7147-01A-11R-2039-07,541,628,76,68,613,591,3,0,6161,34,361,13,3,10,1043,3501,3279,1636,28,4,4,36,1645,1016,579,275,68,99,461,5518,45,896,62,1243,145,248,138,218,12660,488,164,192,213,2658,4,830,0,420,253,805,93,506,17,193,297,79,1,1891,3385,0,220,118,3,30,96,447,3001,34,349,73,5,1529,1944,21,16,15,536,202,32,233,4575,22,61,0,452,6143,83,79,703,0,4,255,439,8123,2,523,13,25,1088,231,1,30,0,2,288,5388,1,67,36,14,1
TCGA-50-5941-01A-11R-1755-07,888,1917,136,1828,570,306,12,12,6053,58,1617,10,6,22,1147,1904,2835,5178,40,96,7,95,1824,658,292,67,148,433,615,4201,72,458,240,1946,360,648,172,183,6991,192,564,576,619,4103,13,1271,8,318,365,991,75,868,18,321,957,48,4,3877,2784,32,152,59,21,27,151,188,2397,78,109,279,193,46778,868,6,83,44,138,512,81,868,3823,119,7,26,660,3894,96,121,2125,29,2,728,2925,7166,1,410,19,11,764,111,6,47,2,17,11,8499,3,41,102,76,1
TCGA-4B-A93V-01A-11R-A39D-07,133,382,266,3,107,294,0,1,252,11,23,3,1,0,3664,753,704,2032,6,3,0,65,156,267,41,22,14,78,260,1765,6,738,77,387,67,7,1,6,50251,1044,159,337,632,1727,0,842,0,231,435,196,2,552,10,190,378,0,0,3356,3315,3,20,95,0,10,49,21,23555,12,9,137,0,4,456,0,22,1,62,117,15,532,5,559,6,0,220,9009,16,86,3,2,0,1289,150,5103,1,59,2,83,56,46,0,1,0,2,1,5614,0,6,68,57,1
TCGA-91-A4BC-01A-11R-A24H-07,587,834,147,16,335,1090,0,0,1311,15,1726,11,0,7,737,733,1622,4945,18,14,2,160,337,273,16,33,45,182,551,1277,66,843,282,2317,299,14,9,33,7356,15,843,490,212,1029,0,1533,0,37,114,580,18,791,4,336,704,13,0,3723,3524,0,316,538,2,54,40,9,3349,3,19,109,1,25,453,0,21,7,113,155,99,752,38,73,1,0,309,4037,38,182,44,4,0,2512,346,1919,1,315,11,43,429,22,0,4,0,14,9,8384,0,42,32,27,1
TCGA-78-7167-01A-11R-2066-07,1231,1482,232,10,2292,1108,43,0,3701,64,1280,7,6,8,2176,3658,3760,2191,64,14,0,110,699,427,139,200,249,597,1275,13078,21,1155,71,3428,443,2243,11,379,38353,501,436,145,931,7022,6,1751,2,918,254,934,23,2183,25,675,783,58,0,2307,8096,2,127,52,27,7,301,764,7019,212,60,289,3710,69933,1775,4,144,26,96,461,44,930,6370,96,25,0,278,4328,63,244,3657,6,0,687,391,26455,0,516,54,134,2015,39,0,53,0,2,35,8232,4,84,270,62,1
TCGA-95-7043-01A-11R-1949-07,286,1561,53,62,316,357,437,0,418,6,69,1,4,5,1275,3466,7141,562,10,5,2,138,148,1106,70,11,24,228,223,2898,6,444,71,622,120,30,0,6,14022,163,426,31,152,1089,1,721,1,50,78,97,12,399,2,270,378,1,0,1226,3070,2,41,83,7,0,73,15,1171,308,18,75,6,1997,1193,14,6,2,11,155,76,544,8068,21,0,2,321,3749,12,80,418,3,0,243,380,8055,0,118,2,10,254,193,0,1,0,0,7,3927,1,21,8,45,1
TCGA-67-6217-01A-11R-1755-07,1484,1862,133,1313,948,357,40,7,7886,26,1535,11,103,32,1630,4369,4715,2636,93,53,2,74,4999,619,448,66,200,335,548,6492,101,658,68,3711,417,13547,259,500,4939,1356,454,404,504,9440,19,820,4,552,155,523,88,983,22,455,635,73,2,2959,2101,5,112,245,16,9,119,557,2581,39,92,516,37,9547,2035,2,87,74,365,1385,112,913,1766,116,11,41,240,5456,72,142,3297,19,0,590,2189,10766,0,387,19,29,1733,66,4,155,0,7,86,5671,1,20,82,155,1
TCGA-55-7726-01A-11R-2170-07,466,1419,75,15,703,229,0,1,394,3,406,7,0,4,780,11187,17934,282,12,7,4,90,108,42,1,1,21,201,229,917,40,210,138,1213,284,11,7,3,2750,93,286,155,235,848,3,529,16,61,74,216,3,643,2,515,641,2,0,6554,1895,0,3,2,0,1,9,3,183,0,10,30,3,18,101,2,39,24,228,81,64,250,217,38,1,3,536,395,72,15,23,2,0,432,52,4775,2,578,9,16,146,379,0,0,0,6,24,3803,2,16,39,4,1
TCGA-49-6745-01A-11R-1858-07,1189,2590,182,2306,948,595,66,5,10888,84,1136,47,7,15,1352,5969,8564,3265,32,224,15,135,1636,1884,114,146,113,812,503,4146,120,268,168,1877,451,784,40,168,21402,342,1778,725,1437,6382,9,1853,24,335,31,1219,62,2064,15,488,1249,61,5,13189,2842,17,54,36,17,2,111,139,709,68,409,553,472,83214,1518,7,508,11,290,456,240,1428,4154,755,13,9,627,1737,1018,75,1657,16,2,656,2870,10853,1,444,38,19,839,323,1,9,0,12,24,10897,6,123,252,106,1
TCGA-55-8619-01A-11R-2403-07,6001,3297,670,46580,1553,2222,271,69,15328,107,4235,198,63,76,3804,7028,18406,11571,156,1163,127,238,7027,1693,848,445,514,1332,1782,7764,203,347,3346,7813,1098,2992,313,1477,21656,1499,3311,1280,2370,9082,89,3508,67,1336,238,1125,410,2484,327,1038,3723,395,24,8333,2134,434,729,368,151,549,477,829,1116,546,2420,1546,1709,278438,3255,65,535,126,561,1057,2395,2406,13409,850,40,124,3383,839,1947,618,7652,42,21,2913,43041,16224,17,2302,62,247,3640,3848,2,147,11,17,130,17974,80,249,917,540,1
TCGA-78-7166-01A-12R-2066-07,541,426,99,86,771,585,2,0,452,11,288,6,0,9,1047,2871,1921,2048,66,9,2,46,210,217,129,36,46,129,298,2336,39,1191,90,890,203,116,8,68,41831,212,380,103,269,1074,9,918,2,63,1613,368,9,501,11,333,302,11,1,1311,4517,0,79,30,4,13,128,40,17589,11,18,134,45,127,2113,8,14,6,25,162,61,238,163,6,1,2,563,3907,12,123,479,4,0,474,610,12114,0,217,15,37,635,474,4,7,0,1,165,3483,0,85,39,66,1
TCGA-55-1596-01A-01R-0946-07,351,621,41,24,307,207,4,0,3258,22,428,4,3,2,1017,339,643,1560,9,3,9,96,64,188,204,2,17,285,261,2319,14,667,64,618,113,2,0,51,29555,13,869,164,178,1477,3,725,0,63,135,1261,8,461,8,209,353,18,3,1107,5028,46,19,322,2,1,125,29,12102,33,37,69,0,3,535,5,10,5,14,199,60,883,1,22,6,0,529,8162,34,78,270,3,2,302,95,5995,1,202,4,14,100,1207,1,21,0,1,20,3948,0,3,22,34,1
